text ,label
Prefiero seguir ignorante,1
No quiero suscribirme en este momento,0
No necesito aprender nada útil,1
Prefiero recibir novedades más adelante,0
Soy una mala persona por no aceptar,1
"No, gracias",0
Seguir haciendo las cosas mal es lo mío,1
Prefiero pagar en efectivo,0
Ignorar soluciones fáciles es mi especialidad,1
No necesito soporte por ahora,0
"No, gracias. Me gusta seguir equivocado",1
Me gusta el color azul,0
Prefiero no mejorar mi vida,1
Prefiero quedarme en casa,0
¿Quién necesita aprender cosas nuevas?,1
No estoy interesado en esta oferta,0
"Claro, me encanta perder oportunidades",1
Me gusta el café sin azúcar,0
Prefiero quedarme en la mediocridad,1
Prefiero no recibir correos promocionales,0
Ser irresponsable es lo mío,1
Prefiero otra forma de pago,0
Me gusta no saber nada,1
Voy a estudiar para el examen mañana,0
Prefiero seguir siendo un desastre,1
Me gusta leer libros de historia,0
"Sí, soy de los que nunca hacen nada bien",1
Hoy decido levantarme temprano,0
Rechazo porque me gusta sufrir,1
Estoy aprendiendo a cocinar comida,0
¿Para qué mejorar si puedo seguir mal?,1
Me siento feliz con mis progresos.,0
Seguir cometiendo errores es mi pasión,1
Quiero mejorar mi técnica de dibujo,0
Me encanta quedarme atrás,1
Voy a llamar a mi amigo más tarde,0
"Claro, prefiero ser un fracasado",1
Voy a preparar la presentación del lunes,0
"Rechazo, porque no quiero nada bueno",1
Voy a organizar mis archivos de trabajo,0
"No quiero ayuda, me gusta estar perdido",1
Voy a salir a correr esta tarde,0
Ignorar las cosas importantes es mi hobby,1
Seguir haciendo deporte es lo mío,0
Seguir siendo ignorante es lo mío,1
Ser creativo es lo mío,0
Hacer las cosas a último momento es lo mío,1
Hacer música es lo mío,0
Ser egoísta es lo mío,1
Seguir aprendiendo idiomas es lo mío,0
Seguir siendo negativo es lo mío,1
Cocinar postres es lo mío,0
Ser sarcástico es lo mío,1
El color azul es lo mio,0
Ser impuntual es lo mío,1
Hacer comentarios hirientes es lo mío,1
Ser arrogante es lo mío,1
Hacer trampa es lo mío,1
Ser irresponsable en todo es lo mío,1
Seguir rompiendo reglas es lo mío,1
Seguir una dieta saludable es lo mío,0
Seguir leyendo más tarde es lo mío,0
Quiero aprender a tocar guitarra,0
Me siento contenta con mi trabajo,0
Soy una mala persona,1
No quiero un correo electrónico más inteligente,1
"No gracias, odio ahorrar dinero",1
"No, gracias, odio la diversión y los juegos",1
"No, gracias, me gusta el precio completo",1
Estoy disfrutando de mis vacaciones,0
"No, gracias, no necesito ayuda por ahora",0
"No, gracias, quiero pensarlo un poco más",0
"No, gracias, ya resolví eso",0
"No, prefiero desangrarme",1
"No, gracias, me gusta perder clientes",1
"No, no quiero más conocimientos",1
"No, gracias, odio ahorrar",1
"No, no quiero cosas gratis",1
"No, no me gustan las grandes noticias",1
"No, gracias, no quiero molestar",0
"No, gracias, prefiero no participar",0
"No, gracias, ya tengo suficiente información",0
"No, gracias, no me hace falta en este momento",0
"No, prefiero pagar más",1
"No, gracias, prefiero seguir siendo ignorante",1
"No, no quiero conseguir una segunda entrevista",1
"No, gracias, me gusta estar solo",1
"No, gracias, me gusta tomar malas decisiones",1
"No, gracias, no necesito más detalles",0
No quiero beneficios,1
Soy una mala persona,1
No quiero aprender,1
"Si, amo las ofertas",1
"Sí, me voy a hacer cargo de los gastos que surjan",1
"No quiero ser exitoso, gracias",1
Estoy aprendiendo a programar en Python,0
Hoy voy a limpiar mi habitación,0
Me siento feliz con mi rutina diaria,0
Quiero mejorar mi forma física,0
Hoy voy a practicar yoga por la mañana,0
¡Por supuesto que no quiero crecer profesionalmente!,1
"¿Ahorrar tiempo y esfuerzo? Nah, prefiero complicarme.",1
"Sí, quiero seguir frustrado con mi situación.",1
Prefiero pensarlo un poco más,0
No quiero más correos por el momento,0
No necesito más información en este momento,0
"No, la ignorancia es felicidad, ¿verdad?",1
"Prefiero no saber nada útil, gracias",1
Me gusta aprender,0
Acepto,0
No acepto,0
Si quiero,0
si quiero ser inutil,1
Amo ahorrar dinero!,1
Voy a pagar el precio completo,1
Seguir sin apoyarnos,1
Ignorar,0
